Device ID,
Remarks,_A4_229
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
6.93555,5.2341107221E-05,-3.8364021748E-05,6.93555,6.93555
6.93565,5.2348903409E-05,1.7789328922E-05,6.93565,6.93565
6.93575,5.2355164371E-05,0.00014796940377,6.93575,6.93575
6.93585,5.2300420066E-05,-6.2148268626E-05,6.93585,6.93585
6.93595,5.2303428674E-05,2.7640793633E-05,6.93595,6.93595
6.93605,5.8966801589E-05,-0.633587598800659,6.93605,6.93605
6.93615,4.959078979E-06,-9.99668025970459,6.93615,6.93615
6.93625,4.5366146E-08,-9.9971284866333,6.93625,6.93625
6.93635,-2.2840219E-08,-9.99777317047119,6.93635,6.93635
6.93645,-4.6252978E-08,-9.99814701080322,6.93645,6.93645
6.93655,-8.0999484E-08,-9.99828910827637,6.93655,6.93655
6.93665,-7.7659827E-08,-9.99818992614746,6.93665,6.93665
6.93675,-5.3719752E-08,-9.99829769134521,6.93675,6.93675
6.93685,-9.4920587E-08,-9.99825382232666,6.93685,6.93685
6.93695,-7.6731752E-08,-9.99798679351807,6.93695,6.93695
6.93705,-8.031931429E-06,-9.37419319152832,6.93705,6.93705
6.93715,3.4382232116E-05,-0.001115199527703,6.93715,6.93715
6.93725,5.0979258958E-05,-0.000713400484528,6.93725,6.93725
6.93735,5.2055260312E-05,-0.000366347434465,6.93735,6.93735
6.93745,5.2307255828E-05,-8.3821498265E-05,6.93745,6.93745
6.93755,5.2350220358E-05,-8.3821498265E-05,6.93755,6.93755
6.93765,5.2315164794E-05,0.000253380072536,6.93765,6.93765
6.93775,5.2325794968E-05,0.000315092474921,6.93775,6.93775
6.93785,5.2328305173E-05,0.000371668022126,6.93785,6.93785
6.93795,5.2297193179E-05,0.000305452093016,6.93795,6.93795
6.93805,5.899199823E-05,-0.613554298877716,6.93805,6.93805
6.93815,5.139743735E-06,-9.99640560150146,6.93815,6.93815
6.93825,7.5127772E-08,-9.99718856811523,6.93825,6.93825
6.93835,-3.888464E-08,-9.99773216247559,6.93835,6.93835
6.93845,-7.5213087E-08,-9.99766826629639,6.93845,6.93845
6.93855,-2.9723429E-08,-9.99794578552246,6.93855,6.93855
6.93865,-5.6525064E-08,-9.99781513214111,6.93865,6.93865
6.93875,-6.4329321E-08,-9.99789810180664,6.93875,6.93875
6.93885,-7.2464019E-08,-9.99802780151367,6.93885,6.93885
6.93895,-6.3787944E-08,-9.99792671203613,6.93895,6.93895
6.93905,-7.931438631E-06,-9.39412403106689,6.93905,6.93905
6.93915,3.4209591831E-05,-0.001116043888032,6.93915,6.93915
6.93925,5.1029091992E-05,-0.000530866906047,6.93925,6.93925
6.93935,5.2068775403E-05,-3.2312407711E-05,6.93935,6.93935
6.93945,5.23395247E-05,0.000167390855495,6.93945,6.93945
6.93955,5.2383329603E-05,2.1518811991E-05,6.93955,6.93955
6.93965,5.2395815146E-05,0.000234662293224,6.93965,6.93965
6.93975,5.2380502893E-05,0.00015388027532,6.93975,6.93975
6.93985,5.2326406148E-05,0.000433802633779,6.93985,6.93985
