Device ID,
Remarks,LTD_512_A4_229
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
6.23765,2.0499057428E-05,-0.00095099513419,6.23765,6.23765
6.23775,2.0582287107E-05,-0.000836295890622,6.23775,6.23775
6.23785,2.0629760911E-05,-0.000976960756816,6.23785,6.23785
6.23795,2.0657138521E-05,-0.000920596299693,6.23795,6.23795
6.23805,5.0465681852E-05,7.60971117019653,6.23805,6.23805
6.23815,0.00010151907918,9.9944486618042,6.23815,6.23815
6.23825,0.000101971600088,9.99458694458008,6.23825,6.23825
6.23835,0.000102044155938,9.99472141265869,6.23835,6.23835
6.23845,0.000102077130578,9.99451160430908,6.23845,6.23845
6.23855,0.000102072495793,9.99460601806641,6.23855,6.23855
6.23865,0.000102086589322,9.99455451965332,6.23865,6.23865
6.23875,0.000102095604234,9.99452209472656,6.23875,6.23875
6.23885,0.000102108824649,9.99434566497803,6.23885,6.23885
6.23895,0.000102096419141,9.99464988708496,6.23895,6.23895
6.23905,8.970075578E-05,2.3940110206604,6.23905,6.23905
6.23915,2.1951140297E-05,-0.000708860170562,6.23915,6.23915
6.23925,2.0663776013E-05,-0.000977171817794,6.23925,6.23925
6.23935,2.0464640329E-05,-0.000902300700545,6.23935,6.23935
6.23945,2.0433486497E-05,-0.001002293080091,6.23945,6.23945
6.23955,2.0479201339E-05,-0.000899204576854,6.23955,6.23955
6.23965,2.0522918931E-05,-0.00089561578352,6.23965,6.23965
6.23975,2.0510720788E-05,-0.001014114823192,6.23975,6.23975
6.23985,2.055843288E-05,-0.000748125312384,6.23985,6.23985
6.23995,2.065469198E-05,-0.000970768393017,6.23995,6.23995
6.24005,5.031704859E-05,7.5894980430603,6.24005,6.24005
6.24015,0.000101472229289,9.99455070495605,6.24015,6.24015
6.24025,0.000101942416222,9.99429130554199,6.24025,6.24025
6.24035,0.000102040954516,9.9945011138916,6.24035,6.24035
6.24045,0.000102055171737,9.99446105957031,6.24045,6.24045
6.24055,0.000102037192846,9.99426460266113,6.24055,6.24055
6.24065,0.000102057820186,9.99416065216064,6.24065,6.24065
6.24075,0.000102069745481,9.99448013305664,6.24075,6.24075
6.24085,0.00010208292224,9.99441051483154,6.24085,6.24085
6.24095,0.000102110883745,9.99430847167969,6.24095,6.24095
6.24105,8.9846842457E-05,2.41367840766907,6.24105,6.24105
6.24115,2.1926553018E-05,-0.000995537848212,6.24115,6.24115
6.24125,2.0609455532E-05,-0.000917077937629,6.24125,6.24125
6.24135,2.0419109205E-05,-0.001063583302312,6.24135,6.24135
6.24145,2.0415838662E-05,-0.001473896787502,6.24145,6.24145
6.24155,2.0421119189E-05,-0.001058376044966,6.24155,6.24155
6.24165,2.046831105E-05,-0.001151824253611,6.24165,6.24165
6.24175,2.050508192E-05,-0.000769094855059,6.24175,6.24175
6.24185,2.0539519028E-05,-0.001007852144539,6.24185,6.24185
6.24195,2.057961683E-05,-0.000809556222521,6.24195,6.24195
6.24205,5.0116152124E-05,7.57003402709961,6.24205,6.24205
6.24215,0.000101474906842,9.99477767944336,6.24215,6.24215
6.24225,0.000101936151623,9.9946985244751,6.24225,6.24225
6.24235,0.000102026308014,9.99449634552002,6.24235,6.24235
6.24245,0.000102093814348,9.99412536621094,6.24245,6.24245
6.24255,0.000102069563582,9.99428176879883,6.24255,6.24255
6.24265,0.000102047793916,9.99429512023926,6.24265,6.24265
6.24275,0.000102061945654,9.99428367614746,6.24275,6.24275
6.24285,0.000102088626591,9.9941873550415,6.24285,6.24285
6.24295,0.000102060446807,9.99406814575195,6.24295,6.24295
6.24305,8.9907094662E-05,2.43359684944153,6.24305,6.24305
6.24315,2.189125189E-05,-0.001284326426685,6.24315,6.24315
6.24325,2.0561878046E-05,-0.00125660165213,6.24325,6.24325
6.24335,2.0375973691E-05,-0.001125647453591,6.24335,6.24335
6.24345,2.0348568796E-05,-0.00100257457234,6.24345,6.24345
6.24355,2.035498801E-05,-0.00115273904521,6.24355,6.24355
6.24365,2.0427103664E-05,-0.001255686860532,6.24365,6.24365
6.24375,2.0471108655E-05,-0.001240557758138,6.24375,6.24375
6.24385,2.0513589334E-05,-0.000860994914547,6.24385,6.24385
6.24395,2.0533128918E-05,-0.001110307406634,6.24395,6.24395
6.24405,4.9963018682E-05,7.54949951171875,6.24405,6.24405
6.24415,0.000101491023088,9.99395275115967,6.24415,6.24415
6.24425,0.000101973761048,9.99438762664795,6.24425,6.24425
6.24435,0.000102021229395,9.9943962097168,6.24435,6.24435
6.24445,0.000102091871668,9.99443912506104,6.24445,6.24445
6.24455,0.000102036690805,9.99456977844238,6.24455,6.24455
6.24465,0.000102078454802,9.99431419372559,6.24465,6.24465
6.24475,0.00010209964239,9.99432849884033,6.24475,6.24475
6.24485,0.000102110912849,9.99417114257813,6.24485,6.24485
6.24495,0.000102092366433,9.99404430389404,6.24495,6.24495
6.24505,9.0069253929E-05,2.45338678359985,6.24505,6.24505
6.24515,2.187748396E-05,-0.00122894719243,6.24515,6.24515
6.24525,2.0540031983E-05,-0.001219166093506,6.24525,6.24525
6.24535,2.0353989385E-05,-0.001154638943262,6.24535,6.24535
6.24545,2.0339632101E-05,-0.001197141013108,6.24545,6.24545
6.24555,2.0372142899E-05,-0.001251324079931,6.24555,6.24555
6.24565,2.0424451577E-05,-0.001171527197585,6.24565,6.24565
6.24575,2.0455408958E-05,-0.001107000047341,6.24575,6.24575
6.24585,2.0483370463E-05,-0.000985616003163,6.24585,6.24585
6.24595,2.0508097805E-05,-0.000838969892357,6.24595,6.24595
6.24605,4.9763417337E-05,7.52969169616699,6.24605,6.24605
6.24615,0.000101499877928,9.99438762664795,6.24615,6.24615
6.24625,0.000101933153928,9.99446678161621,6.24625,6.24625
6.24635,0.000102057143522,9.99447536468506,6.24635,6.24635
6.24645,0.00010207221203,9.99445819854736,6.24645,6.24645
6.24655,0.000102083111415,9.99431037902832,6.24655,6.24655
6.24665,0.000102053156297,9.9946813583374,6.24665,6.24665
6.24675,0.000102080259239,9.99450397491455,6.24675,6.24675
6.24685,0.000102109894215,9.99441146850586,6.24685,6.24685
6.24695,0.000102093894384,9.99459362030029,6.24695,6.24695
6.24705,9.0196241217E-05,2.47389626502991,6.24705,6.24705
6.24715,2.1862149879E-05,-0.001371089718305,6.24715,6.24715
6.24725,2.0502642656E-05,-0.001257516443729,6.24725,6.24725
6.24735,2.0352301362E-05,-0.001433576107956,6.24735,6.24735
6.24745,2.0313420464E-05,-0.001256320159882,6.24745,6.24745
6.24755,2.0313287678E-05,-0.001036843634211,6.24755,6.24755
6.24765,2.0335210138E-05,-0.001017773989588,6.24765,6.24765
6.24775,2.0386078177E-05,-0.00109517830424,6.24775,6.24775
6.24785,2.044404755E-05,-0.000941776961554,6.24785,6.24785
6.24795,2.0449657313E-05,-0.000926225737203,6.24795,6.24795
6.24805,4.9561836931E-05,7.50979137420654,6.24805,6.24805
6.24815,0.00010146182467,9.99441242218018,6.24815,6.24815
6.24825,0.000101932433608,9.99446487426758,6.24825,6.24825
6.24835,0.000101982506749,9.9944372177124,6.24835,6.24835
6.24845,0.00010201013356,9.99444103240967,6.24845,6.24845
6.24855,0.00010202651174,9.99430179595947,6.24855,6.24855
6.24865,0.000102051119029,9.99435424804688,6.24865,6.24865
6.24875,0.000102089514257,9.99455451965332,6.24875,6.24875
6.24885,0.000102089659777,9.9945592880249,6.24885,6.24885
6.24895,0.000102069658169,9.99439525604248,6.24895,6.24895
6.24905,9.0280307631E-05,2.49363660812378,6.24905,6.24905
6.24915,2.1804124117E-05,-0.000969994347543,6.24915,6.24915
6.24925,2.0470335585E-05,-0.001004615216516,6.24925,6.24925
6.24935,2.0287181542E-05,-0.000673817121424,6.24935,6.24935
6.24945,2.0251844035E-05,-0.00071441923501,6.24945,6.24945
6.24955,2.0291758119E-05,-0.000786757096648,6.24955,6.24955
6.24965,2.0359262635E-05,-0.001157664810307,6.24965,6.24965
