A2_LTP,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.91765,4.62E-07,-0.000708301,,,,,,,,,,,,,,
5.91775,4.62E-07,-0.000580866,,,,,,,,,,,,,,
5.91785,4.62E-07,-0.000875493,,,,,,,,,,,,,,
5.91795,4.62E-07,-0.00075798,,,,,,,,,,,,,,
5.91805,4.63E-07,-0.000686135,,,,,,,,,,,,,,
5.91815,4.62E-07,-0.000634204,,,,,,,,,,,,,,
5.91825,4.62E-07,-0.000716956,,,,,,,,,,,,,,
5.91835,4.62E-07,-0.000537027,,,,,,,,,,,,,,
5.91845,4.62E-07,-0.00051641,,,,,,,,,,,,,,
5.91855,4.62E-07,-0.000538575,,,,,,,,,,,,,,
5.91865,4.62E-07,-0.000601976,,,,,,,,,,,,,,
5.91875,4.63E-07,-0.000476371,,,,,,,,,,,,,,
5.91885,4.62E-07,-0.000488122,,,,,,,,,,,,,,
5.91895,4.62E-07,-0.000737292,,,,,,,,,,,,,,
5.91905,4.62E-07,-0.000650388,,,,,,,,,,,,,,
5.91915,4.62E-07,-0.000904765,,,,,,,,,,,,,,
5.91925,4.62E-07,-0.000838691,,,,,,,,,,,,,,
5.91935,4.62E-07,-0.000678957,,,,,,,,,,,,,,
5.91945,4.62E-07,-0.000918979,,,,,,,,,,,,,,
5.91955,4.62E-07,-0.000942412,,,,,,,,,,,,,,
5.91965,4.62E-07,-0.000668191,,,,,,,,,,,,,,
5.91975,4.62E-07,-0.000816314,,,,,,,,,,,,,,
5.91985,4.62E-07,-0.00083855,,,,,,,,,,,,,,
5.91995,4.62E-07,-0.000739755,,,,,,,,,,,,,,
5.92005,4.62E-07,-0.000793796,,,,,,,,,,,,,,
5.92015,4.62E-07,-0.000930238,,,,,,,,,,,,,,
5.92025,4.62E-07,-0.000870497,,,,,,,,,,,,,,
5.92035,4.62E-07,-0.000982099,,,,,,,,,,,,,,
5.92045,4.62E-07,-0.000876337,,,,,,,,,,,,,,
5.92055,4.62E-07,-0.000749747,,,,,,,,,,,,,,
5.92065,4.63E-07,-0.000749254,,,,,,,,,,,,,,
5.92075,4.62E-07,-0.000595432,,,,,,,,,,,,,,
5.92085,4.63E-07,-0.000745173,,,,,,,,,,,,,,
5.92095,4.63E-07,-0.00090941,,,,,,,,,,,,,,
5.92105,4.63E-07,-0.000921161,,,,,,,,,,,,,,
5.92115,4.63E-07,-0.000971544,,,,,,,,,,,,,,
5.92125,4.63E-07,-0.001040785,,,,,,,,,,,,,,
5.92135,4.62E-07,-0.001125718,,,,,,,,,,,,,,
5.92145,4.63E-07,-0.00099969,,,,,,,,,,,,,,
5.92155,4.62E-07,-0.00081948,,,,,,,,,,,,,,
5.92165,4.62E-07,-0.000823562,,,,,,,,,,,,,,
5.92175,4.62E-07,-0.001029385,,,,,,,,,,,,,,
5.92185,4.63E-07,-0.001051481,,,,,,,,,,,,,,
5.92195,4.62E-07,-0.000994694,,,,,,,,,,,,,,
5.92205,4.63E-07,-0.001125155,,,,,,,,,,,,,,
5.92215,4.63E-07,-0.000896603,,,,,,,,,,,,,,
5.92225,4.62E-07,-0.000828769,,,,,,,,,,,,,,
5.92235,4.62E-07,-0.000724766,,,,,,,,,,,,,,
5.92245,4.63E-07,-0.000657355,,,,,,,,,,,,,,
5.92255,4.63E-07,-0.000951559,,,,,,,,,,,,,,
5.92265,4.62E-07,-0.000835243,,,,,,,,,,,,,,
5.92275,4.63E-07,-0.000786056,,,,,,,,,,,,,,
5.92285,4.62E-07,-0.000974077,,,,,,,,,,,,,,
5.92295,4.62E-07,-0.001000957,,,,,,,,,,,,,,
5.92305,4.62E-07,-0.000896814,,,,,,,,,,,,,,
5.92315,4.62E-07,-0.000918487,,,,,,,,,,,,,,
5.92325,4.62E-07,-0.0008693,,,,,,,,,,,,,,
5.92335,4.62E-07,-0.000831935,,,,,,,,,,,,,,
5.92345,4.62E-07,-0.001043811,,,,,,,,,,,,,,
5.92355,4.63E-07,-0.000788378,,,,,,,,,,,,,,
5.92365,4.63E-07,-0.000759528,,,,,,,,,,,,,,
5.92375,4.62E-07,-0.000549904,,,,,,,,,,,,,,
5.92385,4.63E-07,-0.000514158,,,,,,,,,,,,,,
5.92395,4.62E-07,-0.000895829,,,,,,,,,,,,,,
5.92405,4.62E-07,-0.000814414,,,,,,,,,,,,,,
5.92415,4.62E-07,-0.00108779,,,,,,,,,,,,,,
5.92425,4.63E-07,-0.000815399,,,,,,,,,,,,,,
5.92435,4.62E-07,-0.000875211,,,,,,,,,,,,,,
5.92445,4.62E-07,-0.000852694,,,,,,,,,,,,,,
5.92455,4.62E-07,-0.000926861,,,,,,,,,,,,,,
5.92465,4.62E-07,-0.001033537,,,,,,,,,,,,,,
5.92475,4.63E-07,-0.000806955,,,,,,,,,,,,,,
5.92485,4.62E-07,-0.001244216,,,,,,,,,,,,,,
5.92495,4.62E-07,-0.000861771,,,,,,,,,,,,,,
5.92505,4.62E-07,-0.000854664,,,,,,,,,,,,,,
5.92515,4.63E-07,-0.000841083,,,,,,,,,,,,,,
5.92525,4.63E-07,-0.000798793,,,,,,,,,,,,,,
5.92535,4.62E-07,-0.001033889,,,,,,,,,,,,,,
5.92545,4.62E-07,-0.000934671,,,,,,,,,,,,,,
5.92555,4.62E-07,-0.001031919,,,,,,,,,,,,,,
5.92565,4.62E-07,-0.001092364,,,,,,,,,,,,,,
5.92575,4.62E-07,-0.001062176,,,,,,,,,,,,,,
5.92585,4.62E-07,-0.000981677,,,,,,,,,,,,,,
5.92595,4.63E-07,-0.000910606,,,,,,,,,,,,,,
5.92605,4.62E-07,-0.000792952,,,,,,,,,,,,,,
5.92615,4.62E-07,-0.000659536,,,,,,,,,,,,,,
5.92625,4.62E-07,-0.000881685,,,,,,,,,,,,,,
5.92635,4.62E-07,-0.000981254,,,,,,,,,,,,,,
5.92645,4.62E-07,-0.000889777,,,,,,,,,,,,,,
5.92655,4.62E-07,-0.000929464,,,,,,,,,,,,,,
5.92665,4.62E-07,-0.000870004,,,,,,,,,,,,,,
5.92675,4.62E-07,-0.000898995,,,,,,,,,,,,,,
5.92685,4.63E-07,-0.000928479,,,,,,,,,,,,,,
5.92695,4.63E-07,-0.000972951,,,,,,,,,,,,,,
5.92705,4.62E-07,-0.00084622,,,,,,,,,,,,,,
5.92715,4.62E-07,-0.001027978,,,,,,,,,,,,,,
5.92725,4.62E-07,-0.000864234,,,,,,,,,,,,,,
5.92735,4.62E-07,-0.000916376,,,,,,,,,,,,,,
5.92745,4.62E-07,-0.000898643,,,,,,,,,,,,,,
5.92755,4.62E-07,-0.000821662,,,,,,,,,,,,,,
5.92765,4.62E-07,-0.000880137,,,,,,,,,,,,,,
5.92775,4.62E-07,-0.000814836,,,,,,,,,,,,,,
5.92785,4.62E-07,-0.000807166,,,,,,,,,,,,,,
5.92795,4.63E-07,-0.000891044,,,,,,,,,,,,,,
