A2_LTD,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.92125,2.66E-06,-0.002378004,,,,,,,,,,,,,,
5.92135,2.66E-06,-0.002127779,,,,,,,,,,,,,,
5.92145,2.66E-06,-0.002409177,,,,,,,,,,,,,,
5.92155,2.66E-06,-0.00218365,,,,,,,,,,,,,,
5.92165,2.66E-06,-0.002240155,,,,,,,,,,,,,,
5.92175,2.66E-06,-0.002240437,,,,,,,,,,,,,,
5.92185,2.66E-06,-0.002194979,,,,,,,,,,,,,,
5.92195,2.66E-06,-0.002612256,,,,,,,,,,,,,,
5.92205,2.66E-06,-0.002477925,,,,,,,,,,,,,,
5.92215,2.66E-06,-0.002400592,,,,,,,,,,,,,,
5.92225,2.66E-06,-0.002219467,,,,,,,,,,,,,,
5.92235,2.66E-06,-0.002318755,,,,,,,,,,,,,,
5.92245,2.66E-06,-0.002425572,,,,,,,,,,,,,,
5.92255,2.66E-06,-0.002324807,,,,,,,,,,,,,,
5.92265,2.66E-06,-0.00227935,,,,,,,,,,,,,,
5.92275,2.66E-06,-0.002168099,,,,,,,,,,,,,,
5.92285,2.66E-06,-0.002341061,,,,,,,,,,,,,,
5.92295,2.66E-06,-0.002274494,,,,,,,,,,,,,,
5.92305,2.66E-06,-0.002255354,,,,,,,,,,,,,,
5.92315,2.66E-06,-0.002249795,,,,,,,,,,,,,,
5.92325,2.66E-06,-0.002006396,,,,,,,,,,,,,,
5.92335,2.66E-06,-0.002351194,,,,,,,,,,,,,,
5.92345,2.66E-06,-0.002230656,,,,,,,,,,,,,,
5.92355,2.66E-06,-0.002221226,,,,,,,,,,,,,,
5.92365,2.66E-06,-0.00234655,,,,,,,,,,,,,,
5.92375,2.66E-06,-0.002345776,,,,,,,,,,,,,,
5.92385,2.66E-06,-0.002304822,,,,,,,,,,,,,,
5.92395,2.66E-06,-0.002399114,,,,,,,,,,,,,,
5.92405,2.66E-06,-0.002430076,,,,,,,,,,,,,,
5.92415,2.66E-06,-0.002251203,,,,,,,,,,,,,,
5.92425,2.66E-06,-0.002310382,,,,,,,,,,,,,,
5.92435,2.66E-06,-0.00221229,,,,,,,,,,,,,,
5.92445,2.66E-06,-0.002154307,,,,,,,,,,,,,,
5.92455,2.66E-06,-0.001992323,,,,,,,,,,,,,,
5.92465,2.66E-06,-0.002320022,,,,,,,,,,,,,,
5.92475,2.66E-06,-0.002240225,,,,,,,,,,,,,,
5.92485,2.66E-06,-0.002350209,,,,,,,,,,,,,,
5.92495,2.66E-06,-0.002177317,,,,,,,,,,,,,,
5.92505,2.66E-06,-0.002570739,,,,,,,,,,,,,,
5.92515,2.66E-06,-0.002209405,,,,,,,,,,,,,,
5.92525,2.66E-06,-0.002351546,,,,,,,,,,,,,,
5.92535,2.66E-06,-0.002362734,,,,,,,,,,,,,,
5.92545,2.66E-06,-0.002303837,,,,,,,,,,,,,,
5.92555,2.66E-06,-0.002226856,,,,,,,,,,,,,,
5.92565,2.66E-06,-0.002300108,,,,,,,,,,,,,,
5.92575,2.66E-06,-0.002047842,,,,,,,,,,,,,,
5.92585,2.66E-06,-0.002165144,,,,,,,,,,,,,,
5.92595,2.66E-06,-0.002395385,,,,,,,,,,,,,,
5.92605,2.66E-06,-0.002380396,,,,,,,,,,,,,,
5.92615,2.66E-06,-0.002428598,,,,,,,,,,,,,,
5.92625,2.66E-06,-0.002396159,,,,,,,,,,,,,,
5.92635,2.66E-06,-0.002174362,,,,,,,,,,,,,,
5.92645,2.66E-06,-0.00232347,,,,,,,,,,,,,,
5.92655,2.66E-06,-0.00232537,,,,,,,,,,,,,,
5.92665,2.66E-06,-0.002193994,,,,,,,,,,,,,,
5.92675,2.66E-06,-0.002428668,,,,,,,,,,,,,,
5.92685,2.66E-06,-0.002036372,,,,,,,,,,,,,,
5.92695,2.66E-06,-0.002030602,,,,,,,,,,,,,,
5.92705,2.66E-06,-0.0023063,,,,,,,,,,,,,,
5.92715,2.66E-06,-0.002274776,,,,,,,,,,,,,,
5.92725,2.66E-06,-0.002364072,,,,,,,,,,,,,,
5.92735,2.66E-06,-0.002265558,,,,,,,,,,,,,,
5.92745,2.66E-06,-0.002184987,,,,,,,,,,,,,,
5.92755,2.66E-06,-0.002531826,,,,,,,,,,,,,,
5.92765,2.66E-06,-0.002479333,,,,,,,,,,,,,,
5.92775,2.66E-06,-0.002169295,,,,,,,,,,,,,,
5.92785,2.66E-06,-0.002220945,,,,,,,,,,,,,,
5.92795,2.66E-06,-0.00217218,,,,,,,,,,,,,,
5.92805,2.66E-06,-0.001978179,,,,,,,,,,,,,,
5.92815,2.66E-06,-0.002041157,,,,,,,,,,,,,,
5.92825,2.66E-06,-0.002153533,,,,,,,,,,,,,,
5.92835,2.66E-06,-0.002550052,,,,,,,,,,,,,,
5.92845,2.66E-06,-0.002299404,,,,,,,,,,,,,,
5.92855,2.66E-06,-0.002491506,,,,,,,,,,,,,,
5.92865,2.66E-06,-0.00240988,,,,,,,,,,,,,,
5.92875,2.66E-06,-0.00243662,,,,,,,,,,,,,,
5.92885,2.66E-06,-0.00229089,,,,,,,,,,,,,,
5.92895,2.66E-06,-0.002410795,,,,,,,,,,,,,,
5.92905,2.66E-06,-0.002414384,,,,,,,,,,,,,,
5.92915,2.66E-06,-0.002441545,,,,,,,,,,,,,,
5.92925,2.66E-06,-0.002254158,,,,,,,,,,,,,,
5.92935,2.66E-06,-0.002057905,,,,,,,,,,,,,,
5.92945,2.66E-06,-0.002131438,,,,,,,,,,,,,,
5.92955,2.66E-06,-0.002373641,,,,,,,,,,,,,,
5.92965,2.66E-06,-0.002277802,,,,,,,,,,,,,,
5.92975,2.66E-06,-0.002152407,,,,,,,,,,,,,,
5.92985,2.66E-06,-0.002157052,,,,,,,,,,,,,,
5.92995,2.66E-06,-0.002189561,,,,,,,,,,,,,,
5.93005,2.66E-06,-0.002101321,,,,,,,,,,,,,,
5.93015,2.66E-06,-0.002247544,,,,,,,,,,,,,,
5.93025,2.66E-06,-0.002425361,,,,,,,,,,,,,,
5.93035,2.66E-06,-0.00239644,,,,,,,,,,,,,,
5.93045,2.66E-06,-0.002436549,,,,,,,,,,,,,,
5.93055,2.66E-06,-0.002169436,,,,,,,,,,,,,,
5.93065,2.66E-06,-0.002188998,,,,,,,,,,,,,,
5.93075,2.66E-06,-0.002382297,,,,,,,,,,,,,,
5.93085,2.66E-06,-0.002387152,,,,,,,,,,,,,,
5.93095,2.66E-06,-0.002304471,,,,,,,,,,,,,,
5.93105,2.66E-06,-0.002391866,,,,,,,,,,,,,,
5.93115,2.66E-06,-0.002157544,,,,,,,,,,,,,,
5.93125,2.66E-06,-0.002430498,,,,,,,,,,,,,,
5.93135,2.66E-06,-0.00251522,,,,,,,,,,,,,,
5.93145,2.66E-06,-0.002424095,,,,,,,,,,,,,,
5.93155,2.66E-06,-0.002555399,,,,,,,,,,,,,,
5.93165,2.66E-06,-0.002493336,,,,,,,,,,,,,,
5.93175,2.66E-06,-0.00250572,,,,,,,,,,,,,,
5.93185,2.66E-06,-0.002199905,,,,,,,,,,,,,,
5.93195,2.66E-06,-0.002034683,,,,,,,,,,,,,,
5.93205,2.66E-06,-0.0019957,,,,,,,,,,,,,,
5.93215,2.66E-06,-0.002037005,,,,,,,,,,,,,,
5.93225,2.66E-06,-0.002072893,,,,,,,,,,,,,,
5.93235,2.66E-06,-0.001938632,,,,,,,,,,,,,,
5.93245,2.66E-06,-0.001968398,,,,,,,,,,,,,,
5.93255,2.66E-06,-0.002338528,,,,,,,,,,,,,,
5.93265,2.66E-06,-0.001949187,,,,,,,,,,,,,,
5.93275,2.66E-06,-0.001942854,,,,,,,,,,,,,,
5.93285,2.66E-06,-0.001868195,,,,,,,,,,,,,,
5.93295,2.66E-06,-0.002119757,,,,,,,,,,,,,,
5.93305,2.66E-06,-0.00214713,,,,,,,,,,,,,,
5.93315,2.66E-06,-0.002012729,,,,,,,,,,,,,,
5.93325,2.66E-06,-0.002033487,,,,,,,,,,,,,,
5.93335,2.66E-06,-0.002279913,,,,,,,,,,,,,,
5.93345,2.66E-06,-0.002246347,,,,,,,,,,,,,,
5.93355,2.66E-06,-0.002125316,,,,,,,,,,,,,,
5.93365,2.66E-06,-0.002154026,,,,,,,,,,,,,,
5.93375,2.66E-06,-0.001898453,,,,,,,,,,,,,,
5.93385,2.66E-06,-0.001960868,,,,,,,,,,,,,,
5.93395,2.66E-06,-0.001843426,,,,,,,,,,,,,,
5.93405,2.66E-06,-0.002052275,,,,,,,,,,,,,,
5.93415,2.66E-06,-0.002042987,,,,,,,,,,,,,,
5.93425,2.66E-06,-0.001783121,,,,,,,,,,,,,,
5.93435,2.66E-06,-0.002085559,,,,,,,,,,,,,,
5.93445,2.66E-06,-0.002199624,,,,,,,,,,,,,,
5.93455,2.66E-06,-0.002246277,,,,,,,,,,,,,,
5.93465,2.66E-06,-0.002001541,,,,,,,,,,,,,,
5.93475,2.66E-06,-0.001947076,,,,,,,,,,,,,,
5.93485,2.66E-06,-0.001920478,,,,,,,,,,,,,,
5.93495,2.66E-06,-0.002019484,,,,,,,,,,,,,,
5.93505,2.66E-06,-0.001981979,,,,,,,,,,,,,,
5.93515,2.66E-06,-0.001860314,,,,,,,,,,,,,,
5.93525,2.66E-06,-0.002041298,,,,,,,,,,,,,,
5.93535,2.66E-06,-0.002236637,,,,,,,,,,,,,,
5.93545,2.66E-06,-0.002191954,,,,,,,,,,,,,,
5.93555,2.66E-06,-0.002041298,,,,,,,,,,,,,,
5.93565,2.66E-06,-0.002133057,,,,,,,,,,,,,,
5.93575,2.66E-06,-0.001944684,,,,,,,,,,,,,,
5.93585,2.66E-06,-0.001985356,,,,,,,,,,,,,,
5.93595,2.66E-06,-0.002133057,,,,,,,,,,,,,,
5.93605,2.66E-06,-0.002251062,,,,,,,,,,,,,,
5.93615,2.66E-06,-0.002345424,,,,,,,,,,,,,,
5.93625,2.66E-06,-0.002158459,,,,,,,,,,,,,,
