Device ID,
Remarks,_A3_228
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.91915,1.3288228729E-05,-0.000284650654066,5.91915,5.91915
5.91925,1.3267655959E-05,-0.00031723084976,5.91925,5.91925
5.91935,1.3261532331E-05,-0.000372258306015,5.91935,5.91935
5.91945,1.3235616279E-05,-0.000109576038085,5.91945,5.91945
5.91955,1.3242555724E-05,-0.000270506745437,5.91955,5.91955
5.91965,1.3252504687E-05,-6.8410990934E-05,5.91965,5.91965
5.91975,1.3224845134E-05,-0.000223853028729,5.91975,5.91975
5.91985,1.3226356714E-05,-0.000278458290268,5.91985,5.91985
5.91995,1.3233718164E-05,-0.000349388836185,5.91995,5.91995
5.92005,1.3236565792E-05,-0.000247637275606,5.92005,5.92005
5.92015,1.3263213077E-05,-0.000278387917206,5.92015,5.92015
5.92025,1.3226694136E-05,-4.061578511E-05,5.92025,5.92025
5.92035,1.326653819E-05,-0.000153837259859,5.92035,5.92035
5.92045,1.3248996765E-05,-0.000336511584464,5.92045,5.92045
5.92055,1.3235996448E-05,-0.000387739186408,5.92055,5.92055
5.92065,1.3240840417E-05,-0.000469998922199,5.92065,5.92065
5.92075,1.3227453564E-05,-0.000678427750245,5.92075,5.92075
5.92085,1.322549906E-05,-0.000368739943951,5.92085,5.92085
5.92095,1.3218580534E-05,-0.000338481855579,5.92095,5.92095
5.92105,1.3216795196E-05,-0.00052594114095,5.92105,5.92105
5.92115,1.3241290617E-05,-0.00043720760732,5.92115,5.92115
5.92125,1.3220380424E-05,-0.000391327921534,5.92125,5.92125
5.92135,1.321257605E-05,-0.000341578037478,5.92135,5.92135
5.92145,1.3223340829E-05,-0.00044297776185,5.92145,5.92145
5.92155,1.3231046978E-05,-0.000567528419197,5.92155,5.92155
5.92165,1.3239603504E-05,-0.000619600468781,5.92165,5.92165
5.92175,1.3241156921E-05,-0.000473095104098,5.92175,5.92175
5.92185,1.3219980247E-05,-0.000331374729285,5.92185,5.92185
5.92195,1.3208006749E-05,-0.000229060227866,5.92195,5.92195
5.92205,1.3227208001E-05,-0.000225049283472,5.92205,5.92205
5.92215,1.3276796381E-05,-0.000554791884497,5.92215,5.92215
5.92225,1.3262094399E-05,-0.000631140719634,5.92225,5.92225
5.92235,1.3237106941E-05,-0.000317582685966,5.92235,5.92235
5.92245,1.3242591194E-05,-0.00036508080666,5.92245,5.92245
5.92255,1.3232607671E-05,-0.000302594387904,5.92255,5.92255
5.92265,1.3231398043E-05,-0.000309138558805,5.92265,5.92265
5.92275,1.3192953702E-05,-0.000457966059912,5.92275,5.92275
5.92285,1.3202909031E-05,-0.000394353730371,5.92285,5.92285
5.92295,1.3218574168E-05,-0.000593212607782,5.92295,5.92295
5.92305,1.3203675735E-05,-0.000584979599807,5.92305,5.92305
5.92315,1.3181907889E-05,-0.000519467343111,5.92315,5.92315
5.92325,1.3194795429E-05,-0.000530655786861,5.92325,5.92325
5.92335,1.3205903997E-05,-0.000602430780418,5.92335,5.92335
5.92345,1.3189142919E-05,-0.00043565951637,5.92345,5.92345
5.92355,1.3208414202E-05,-0.000507856719196,5.92355,5.92355
5.92365,1.3219368157E-05,-0.000385839259252,5.92365,5.92365
5.92375,1.3209974895E-05,-0.000257418374531,5.92375,5.92375
5.92385,1.3205643882E-05,-0.000222938251682,5.92385,5.92385
5.92395,1.323851302E-05,-4.1671297367E-05,5.92395,5.92395
