Device ID,,,,
Remarks,A3_LTD_1ms_1ms_228,,,
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.93675,6.70E-05,-0.001208963,5.93675,5.93675
5.93685,6.70E-05,-0.001175046,5.93685,5.93685
5.93695,6.70E-05,-0.001087156,5.93695,5.93695
5.93705,6.71E-05,-0.001128251,5.93705,5.93705
5.93715,6.71E-05,-0.001033114,5.93715,5.93715
5.93725,6.70E-05,-0.001116922,5.93725,5.93725
5.93735,6.71E-05,-0.000900893,5.93735,5.93735
5.93745,6.71E-05,-0.000909689,5.93745,5.93745
5.93755,6.71E-05,-0.000866272,5.93755,5.93755
5.93765,6.70E-05,-0.001013693,5.93765,5.93765
5.93775,6.70E-05,-0.00099399,5.93775,5.93775
5.93785,6.70E-05,-0.000938047,5.93785,5.93785
5.93795,6.71E-05,-0.000823067,5.93795,5.93795
5.93805,6.70E-05,-0.001071324,5.93805,5.93805
5.93815,6.71E-05,-0.000967391,5.93815,5.93815
5.93825,6.71E-05,-0.001142888,5.93825,5.93825
5.93835,6.70E-05,-0.001043529,5.93835,5.93835
5.93845,6.70E-05,-0.000954232,5.93845,5.93845
5.93855,6.71E-05,-0.000936781,5.93855,5.93855
5.93865,6.71E-05,-0.000900542,5.93865,5.93865
5.93875,6.70E-05,-0.001053098,5.93875,5.93875
5.93885,6.70E-05,-0.001117837,5.93885,5.93885
5.93895,6.71E-05,-0.001134232,5.93895,5.93895
5.93905,6.71E-05,-0.001387837,5.93905,5.93905
5.93915,6.70E-05,-0.001318877,5.93915,5.93915
5.93925,6.70E-05,-0.001211777,5.93925,5.93925
5.93935,6.70E-05,-0.001343435,5.93935,5.93935
5.93945,6.70E-05,-0.001476923,5.93945,5.93945
5.93955,6.70E-05,-0.00137299,5.93955,5.93955
5.93965,6.70E-05,-0.001371934,5.93965,5.93965
5.93975,6.71E-05,-0.001273068,5.93975,5.93975
5.93985,6.71E-05,-0.001278767,5.93985,5.93985
5.93995,6.71E-05,-0.001248157,5.93995,5.93995
5.94005,6.71E-05,-0.001274334,5.94005,5.94005
5.94015,6.71E-05,-0.001132966,5.94015,5.94015
5.94025,6.71E-05,-0.001202489,5.94025,5.94025
5.94035,6.71E-05,-0.00104381,5.94035,5.94035
5.94045,6.71E-05,-0.001155906,5.94045,5.94045
5.94055,6.71E-05,-0.001325632,5.94055,5.94055
5.94065,6.71E-05,-0.001086453,5.94065,5.94065
5.94075,6.71E-05,-0.000889212,5.94075,5.94075
5.94085,6.71E-05,-0.000998423,5.94085,5.94085
5.94095,6.71E-05,-0.00109546,5.94095,5.94095
5.94105,6.71E-05,-0.001164631,5.94105,5.94105
5.94115,6.71E-05,-0.001288056,5.94115,5.94115
5.94125,6.71E-05,-0.00113944,5.94125,5.94125
5.94135,6.71E-05,-0.001365812,5.94135,5.94135
5.94145,6.71E-05,-0.001327251,5.94145,5.94145
5.94155,6.71E-05,-0.001021363,5.94155,5.94155
5.94165,6.71E-05,-0.001257728,5.94165,5.94165
5.94175,6.71E-05,-0.001316766,5.94175,5.94175
5.94185,6.71E-05,-0.001536876,5.94185,5.94185
5.94195,6.71E-05,-0.001692599,5.94195,5.94195
5.94205,6.71E-05,-0.001200659,5.94205,5.94205
5.94215,6.71E-05,-0.001412396,5.94215,5.94215
5.94225,6.71E-05,-0.001396985,5.94225,5.94225
5.94235,6.71E-05,-0.001549472,5.94235,5.94235
5.94245,6.71E-05,-0.001459401,5.94245,5.94245
5.94255,6.71E-05,-0.001112911,5.94255,5.94255
5.94265,6.71E-05,-0.001106648,5.94265,5.94265
5.94275,6.71E-05,-0.001243302,5.94275,5.94275
5.94285,6.71E-05,-0.001303044,5.94285,5.94285
5.94295,6.71E-05,-0.001122059,5.94295,5.94295
5.94305,6.71E-05,-0.001409018,5.94305,5.94305
5.94315,6.71E-05,-0.001406133,5.94315,5.94315
5.94325,6.71E-05,-0.001482622,5.94325,5.94325
5.94335,6.71E-05,-0.001242528,5.94335,5.94335
5.94345,6.71E-05,-0.00120847,5.94345,5.94345
5.94355,6.71E-05,-0.001310714,5.94355,5.94355
5.94365,6.71E-05,-0.001180886,5.94365,5.94365
