A1_LTD,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,
5.94785,2.95E-06,-0.001079873,,,,
5.94795,2.96E-06,-0.001217441,,,,
5.94805,2.93E-06,-0.001090076,,,,
5.94815,2.95E-06,-0.001059326,,,,
5.94825,2.93E-06,-0.001091273,,,,
5.94835,2.93E-06,-0.001021398,,,,
5.94845,2.93E-06,-0.000817123,,,,
5.94855,3.00E-06,-0.000990437,,,,
5.94865,2.98E-06,-0.000719172,,,,
5.94875,2.96E-06,-0.000841047,,,,
5.94885,2.97E-06,-0.001212445,,,,
5.94895,2.97E-06,-0.001076144,,,,
5.94905,2.96E-06,-0.00115974,,,,
5.94915,2.96E-06,-0.00108304,,,,
5.94925,2.97E-06,-0.001217933,,,,
5.94935,2.96E-06,-0.001234329,,,,
5.94945,2.96E-06,-0.00149145,,,,
5.94955,2.96E-06,-0.001142711,,,,
5.94965,2.97E-06,-0.001026183,,,,
5.94975,2.98E-06,-0.001277393,,,,
5.94985,2.98E-06,-0.001516993,,,,
5.94995,3.00E-06,-0.001203367,,,,
5.95005,2.99E-06,-0.001111749,,,,
5.95015,2.96E-06,-0.001008029,,,,
5.95025,2.98E-06,-0.000927669,,,,
5.95035,2.97E-06,-0.000799742,,,,
5.95045,2.97E-06,-0.000894034,,,,
5.95055,2.95E-06,-0.001063759,,,,
5.95065,2.98E-06,-0.001137222,,,,
5.95075,2.96E-06,-0.001345579,,,,
5.95085,3.00E-06,-0.001289004,,,,
5.95095,2.97E-06,-0.001095143,,,,
5.95105,2.97E-06,-0.001113016,,,,
5.95115,2.98E-06,-0.001051586,,,,
5.95125,2.96E-06,-0.001341427,,,,
5.95135,2.97E-06,-0.001142852,,,,
5.95145,2.94E-06,-0.001026887,,,,
5.95155,2.97E-06,-0.001021891,,,,
5.95165,2.99E-06,-0.000823596,,,,
5.95175,2.98E-06,-0.001139404,,,,
5.95185,2.99E-06,-0.001019709,,,,
5.95195,2.99E-06,-0.001122445,,,,
5.95205,3.02E-06,-0.00130744,,,,
5.95215,2.98E-06,-0.0013707,,,,
5.95225,2.96E-06,-0.001499612,,,,
5.95235,2.98E-06,-0.00153564,,,,
5.95245,2.97E-06,-0.001526141,,,,
5.95255,2.94E-06,-0.001557102,,,,
5.95265,2.99E-06,-0.00143009,,,,
5.95275,2.99E-06,-0.001302022,,,,
5.95285,2.96E-06,-0.001417635,,,,
5.95295,2.97E-06,-0.001226377,,,,
5.95305,2.98E-06,-0.00118078,,,,
5.95315,3.00E-06,-0.001153547,,,,
5.95325,2.98E-06,-0.001440786,,,,
5.95335,2.96E-06,-0.001481599,,,,
5.95345,2.96E-06,-0.001230248,,,,
5.95355,2.97E-06,-0.001226307,,,,
5.95365,2.95E-06,-0.001278167,,,,
5.95375,2.95E-06,-0.000874683,,,,
5.95385,2.97E-06,-0.001100983,,,,
5.95395,2.94E-06,-0.001030405,,,,
5.95405,2.99E-06,-0.000989452,,,,
5.95415,2.99E-06,-0.000948076,,,,
5.95425,2.97E-06,-0.000904941,,,,
5.95435,2.99E-06,-0.001109498,,,,
5.95445,2.96E-06,-0.001294633,,,,
5.95455,2.96E-06,-0.001083392,,,,
5.95465,2.96E-06,-0.001129412,,,,
5.95475,2.98E-06,-0.001052852,,,,
5.95485,2.98E-06,-0.001107176,,,,
5.95495,2.99E-06,-0.000924081,,,,
5.95505,3.00E-06,-0.000931399,,,,
5.95515,2.98E-06,-0.001115901,,,,
5.95525,2.99E-06,-0.001048278,,,,
5.95535,3.02E-06,-0.000775254,,,,
5.95545,3.01E-06,-0.000988748,,,,
5.95555,3.02E-06,-0.001169662,,,,
5.95565,2.97E-06,-0.001019358,,,,
5.95575,2.98E-06,-0.001206534,,,,
5.95585,3.00E-06,-0.001078114,,,,
5.95595,2.97E-06,-0.001081632,,,,
5.95605,2.97E-06,-0.001346072,,,,
5.95615,2.98E-06,-0.00117318,,,,
5.95625,2.95E-06,-0.001241084,,,,
5.95635,2.95E-06,-0.001065096,,,,
5.95645,2.96E-06,-0.001167762,,,,
5.95655,2.99E-06,-0.000886082,,,,
5.95665,2.99E-06,-0.00063445,,,,
5.95675,2.99E-06,-0.000763573,,,,
5.95685,2.99E-06,-0.00087412,,,,
5.95695,2.99E-06,-0.001111116,,,,
5.95705,3.02E-06,-0.001247206,,,,
5.95715,2.99E-06,-0.001296674,,,,
5.95725,2.99E-06,-0.001086066,,,,
5.95735,2.98E-06,-0.000904026,,,,
5.95745,3.01E-06,-0.001323132,,,,
5.95755,3.02E-06,-0.001331224,,,,
5.95765,3.00E-06,-0.001279575,,,,
5.95775,3.00E-06,-0.001143766,,,,
5.95785,3.02E-06,-0.00111189,,,,
5.95795,2.98E-06,-0.001304555,,,,
5.95805,3.00E-06,-0.001275775,,,,
5.95815,3.01E-06,-0.001315462,,,,
5.95825,3.03E-06,-0.001150451,,,,
5.95835,3.01E-06,-0.001107176,,,,
5.95845,2.97E-06,-0.001252835,,,,
5.95855,3.00E-06,-0.001102743,,,,
5.95865,3.00E-06,-0.00091057,,,,
5.95875,3.00E-06,-0.000835348,,,,
5.95885,3.01E-06,-0.001049897,,,,
5.95895,3.01E-06,-0.00110612,,,,
5.95905,3.00E-06,-0.001061437,,,,
5.95915,3.01E-06,-0.000992477,,,,
5.95925,3.00E-06,-0.001235314,,,,
5.95935,2.99E-06,-0.000891712,,,,
5.95945,2.97E-06,-0.000800868,,,,
5.95955,2.95E-06,-0.0011444,,,,
5.95965,2.95E-06,-0.000913033,,,,
5.95975,2.93E-06,-0.000705872,,,,
